 1KttoKXB_YFaSXRzz8XH1FFPe_LD233Y7," Electric Machines Modeling, Condition Monitoring and Fault Diagnosis by Hamid A. Toliyat easily ."
 1RhvjPmGh3LNbX_B9RB6D57ddx9gc-JtY, Mechanical Design of Electric Motors by Wei Tong easily .
 1rBJ6yrrhY-wQXQOnyzM04Nr7-YpBKELM, Guide to Electric Power Generation Second Edition by A.J. Pansini and K.D. Smalling easily .
 1h6Zw6AKWC4oPztvtU1w54-RuqGLSM5Tc, Power Management Integrated Circuits by Mona M. Hella and Patrick Mercier easily .
 1Mulzr8vkZPHNJnv2RyDWJA3uokeISSSD, Electrical Engineering Dictionary by Phillip A. Laplante easily .
 1DU4VwDoFce6aj3W-78pzFIT6r1I8FLgG, Electrical Installation Work Sixth Edition by Brian Scaddan easily .
 1C41Mw4RT0lh2HxpWbvLYHTQyBOvKOSya, Basic Electrical Installation Work 5th Edition by Trevor Linsley easily .
 1wIhS0QPuyEOWZrSnP0wtKHTWGCpbely_, Protection of Industrial Power Systems Second Edition by T. Davies .
 1ybYhXsSonRHzf5dMP0c6ym_aMAK16JW6," Advanced Magnetic and Optical Materials by Ashutosh Tiwari, Parameswar K. Iyer, Vijay Kumar and Hendrik Swart in PDF format for  free."
 1KttoKXB_YFaSXRzz8XH1FFPe_LD233Y7," Electric Machines Modeling, Condition Monitoring and Fault Diagnosis by Hamid A. Toliyat easily ."
 1RhvjPmGh3LNbX_B9RB6D57ddx9gc-JtY, Mechanical Design of Electric Motors by Wei Tong easily .
 1rBJ6yrrhY-wQXQOnyzM04Nr7-YpBKELM, Guide to Electric Power Generation Second Edition by A.J. Pansini and K.D. Smalling easily .
 1h6Zw6AKWC4oPztvtU1w54-RuqGLSM5Tc, Power Management Integrated Circuits by Mona M. Hella and Patrick Mercier easily .
 1Mulzr8vkZPHNJnv2RyDWJA3uokeISSSD, Electrical Engineering Dictionary by Phillip A. Laplante easily .
 1DU4VwDoFce6aj3W-78pzFIT6r1I8FLgG, Electrical Installation Work Sixth Edition by Brian Scaddan easily .
 1C41Mw4RT0lh2HxpWbvLYHTQyBOvKOSya, Basic Electrical Installation Work 5th Edition by Trevor Linsley easily .
 1wIhS0QPuyEOWZrSnP0wtKHTWGCpbely_, Protection of Industrial Power Systems Second Edition by T. Davies .
 1ybYhXsSonRHzf5dMP0c6ym_aMAK16JW6," Advanced Magnetic and Optical Materials by Ashutosh Tiwari, Parameswar K. Iyer, Vijay Kumar and Hendrik Swart in PDF format for  free."
 1KttoKXB_YFaSXRzz8XH1FFPe_LD233Y7," Electric Machines Modeling, Condition Monitoring and Fault Diagnosis by Hamid A. Toliyat easily ."
 1RhvjPmGh3LNbX_B9RB6D57ddx9gc-JtY, Mechanical Design of Electric Motors by Wei Tong easily .
 1rBJ6yrrhY-wQXQOnyzM04Nr7-YpBKELM, Guide to Electric Power Generation Second Edition by A.J. Pansini and K.D. Smalling easily .
 1h6Zw6AKWC4oPztvtU1w54-RuqGLSM5Tc, Power Management Integrated Circuits by Mona M. Hella and Patrick Mercier easily .
 1Mulzr8vkZPHNJnv2RyDWJA3uokeISSSD, Electrical Engineering Dictionary by Phillip A. Laplante easily .
 1DU4VwDoFce6aj3W-78pzFIT6r1I8FLgG, Electrical Installation Work Sixth Edition by Brian Scaddan easily .
 1C41Mw4RT0lh2HxpWbvLYHTQyBOvKOSya, Basic Electrical Installation Work 5th Edition by Trevor Linsley easily .
 1wIhS0QPuyEOWZrSnP0wtKHTWGCpbely_, Protection of Industrial Power Systems Second Edition by T. Davies .
 1ybYhXsSonRHzf5dMP0c6ym_aMAK16JW6," Advanced Magnetic and Optical Materials by Ashutosh Tiwari, Parameswar K. Iyer, Vijay Kumar and Hendrik Swart in PDF format for  free."
 1KttoKXB_YFaSXRzz8XH1FFPe_LD233Y7," Electric Machines Modeling, Condition Monitoring and Fault Diagnosis by Hamid A. Toliyat easily ."
 1RhvjPmGh3LNbX_B9RB6D57ddx9gc-JtY, Mechanical Design of Electric Motors by Wei Tong easily .
 1rBJ6yrrhY-wQXQOnyzM04Nr7-YpBKELM, Guide to Electric Power Generation Second Edition by A.J. Pansini and K.D. Smalling easily .
 1h6Zw6AKWC4oPztvtU1w54-RuqGLSM5Tc, Power Management Integrated Circuits by Mona M. Hella and Patrick Mercier easily .
 1Mulzr8vkZPHNJnv2RyDWJA3uokeISSSD, Electrical Engineering Dictionary by Phillip A. Laplante easily .
 1DU4VwDoFce6aj3W-78pzFIT6r1I8FLgG, Electrical Installation Work Sixth Edition by Brian Scaddan easily .
 1C41Mw4RT0lh2HxpWbvLYHTQyBOvKOSya, Basic Electrical Installation Work 5th Edition by Trevor Linsley easily .
